beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
90.0,auto_scan-2026-08-06_09-50-11,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000065.000mm-yp000130.000mm-zm000063.100mm-shot0000.npy,65.0,-63.099999999999994,183,13600.0,0.0135,0.718,0,False
90.0,auto_scan-2026-08-06_09-50-11,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000065.000mm-yp000130.000mm-zm000067.100mm-shot0000.npy,65.0,-67.1,150,13600.0,0.011,0.588,0,False
90.0,auto_scan-2026-08-06_09-50-11,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000070.000mm-yp000130.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,255,13600.0,0.0188,1.0,159,False
90.0,auto_scan-2026-08-06_09-50-11,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000070.000mm-yp000130.000mm-zm000067.100mm-shot0000.npy,70.0,-67.1,150,13600.0,0.011,0.588,0,False
91.0,auto_scan-2026-08-06_09-33-56,y0091.00cm,aug6_axicon3_007-tableyp000910.000mm-gantryxp000070.000mm-yp000020.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,164,4792.5,0.0342,1.0,0,False
91.0,auto_scan-2026-08-06_09-33-56,y0091.00cm,aug6_axicon3_007-tableyp000910.000mm-gantryxp000070.000mm-yp000020.000mm-zm000067.100mm-shot0000.npy,70.0,-67.1,158,4792.5,0.033,0.963,0,False
91.0,auto_scan-2026-08-06_09-50-11,y0091.00cm,aug6_axicon3_007-tableyp000910.000mm-gantryxp000070.000mm-yp000120.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,147,3400.0,0.0432,1.0,0,False
92.0,auto_scan-2026-08-06_09-33-56,y0092.00cm,aug6_axicon3_007-tableyp000920.000mm-gantryxp000070.000mm-yp000010.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,156,3519.9,0.0443,1.0,0,False
92.0,auto_scan-2026-08-06_09-50-11,y0092.00cm,aug6_axicon3_007-tableyp000920.000mm-gantryxp000070.000mm-yp000110.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,125,3400.0,0.0368,1.0,0,False
93.0,auto_scan-2026-08-06_09-50-11,y0093.00cm,aug6_axicon3_007-tableyp000930.000mm-gantryxp000070.000mm-yp000100.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,155,5912.9,0.0262,1.0,0,False
94.0,auto_scan-2026-08-06_09-50-11,y0094.00cm,aug6_axicon3_007-tableyp000940.000mm-gantryxp000070.000mm-yp000090.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,148,4219.9,0.0351,1.0,0,False
95.0,auto_scan-2026-08-06_09-50-11,y0095.00cm,aug6_axicon3_007-tableyp000950.000mm-gantryxp000070.000mm-yp000080.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,152,3011.7,0.0505,1.0,0,False
96.0,auto_scan-2026-08-06_09-50-11,y0096.00cm,aug6_axicon3_007-tableyp000960.000mm-gantryxp000070.000mm-yp000070.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,147,1505.8,0.0976,1.0,0,False
97.0,auto_scan-2026-08-06_09-50-11,y0097.00cm,aug6_axicon3_007-tableyp000970.000mm-gantryxp000070.000mm-yp000060.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,154,1106.0,0.1392,1.0,0,False
97.0,auto_scan-2026-08-06_09-50-11,y0097.00cm,aug6_axicon3_007-tableyp000970.000mm-gantryxp000070.000mm-yp000060.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,149,1106.0,0.1347,0.968,0,False
98.0,auto_scan-2026-08-06_09-50-11,y0098.00cm,aug6_axicon3_007-tableyp000980.000mm-gantryxp000070.000mm-yp000050.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,147,1106.0,0.1329,0.961,0,False
98.0,auto_scan-2026-08-06_09-50-11,y0098.00cm,aug6_axicon3_007-tableyp000980.000mm-gantryxp000070.000mm-yp000050.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,153,1106.0,0.1383,1.0,0,False
99.0,auto_scan-2026-08-06_09-50-11,y0099.00cm,aug6_axicon3_007-tableyp000990.000mm-gantryxp000070.000mm-yp000040.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,162,1106.0,0.1465,1.0,0,False
99.0,auto_scan-2026-08-06_09-50-11,y0099.00cm,aug6_axicon3_007-tableyp000990.000mm-gantryxp000070.000mm-yp000040.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,162,1106.0,0.1465,1.0,0,False
100.0,auto_scan-2026-08-06_09-50-11,y0100.00cm,aug6_axicon3_007-tableyp001000.000mm-gantryxp000070.000mm-yp000030.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,107,553.0,0.1935,0.973,0,False
100.0,auto_scan-2026-08-06_09-50-11,y0100.00cm,aug6_axicon3_007-tableyp001000.000mm-gantryxp000070.000mm-yp000030.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,110,553.0,0.1989,1.0,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000060.000mm-yp000130.000mm-zm000063.100mm-shot0000.npy,60.0,-63.099999999999994,186,500000.0,0.0004,0.729,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000065.000mm-yp000130.000mm-zm000051.100mm-shot0000.npy,65.0,-51.099999999999994,190,500000.0,0.0004,0.745,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000065.000mm-yp000130.000mm-zm000059.100mm-shot0000.npy,65.0,-59.099999999999994,187,500000.0,0.0004,0.733,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000065.000mm-yp000130.000mm-zm000063.100mm-shot0000.npy,65.0,-63.099999999999994,191,500000.0,0.0004,0.749,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000065.000mm-yp000130.000mm-zm000067.100mm-shot0000.npy,65.0,-67.1,189,500000.0,0.0004,0.741,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000070.000mm-yp000130.000mm-zm000051.100mm-shot0000.npy,70.0,-51.099999999999994,190,500000.0,0.0004,0.745,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000070.000mm-yp000130.000mm-zm000055.100mm-shot0000.npy,70.0,-55.099999999999994,255,500000.0,0.0005,1.0,4277,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000070.000mm-yp000130.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,255,500000.0,0.0005,1.0,1076183,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000070.000mm-yp000130.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,255,500000.0,0.0005,1.0,316908,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000070.000mm-yp000130.000mm-zm000071.100mm-shot0000.npy,70.0,-71.1,192,500000.0,0.0004,0.753,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000075.000mm-yp000130.000mm-zm000051.100mm-shot0000.npy,75.0,-51.099999999999994,189,500000.0,0.0004,0.741,0,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000075.000mm-yp000130.000mm-zm000055.100mm-shot0000.npy,75.0,-55.099999999999994,255,500000.0,0.0005,1.0,58,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000075.000mm-yp000130.000mm-zm000059.100mm-shot0000.npy,75.0,-59.099999999999994,255,500000.0,0.0005,1.0,383333,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000075.000mm-yp000130.000mm-zm000063.100mm-shot0000.npy,75.0,-63.099999999999994,255,500000.0,0.0005,1.0,111302,False
100.0,auto_scan-2026-08-06_10-16-44,y0100.00cm,aug6_axicon3_010-tableyp001000.000mm-gantryxp000075.000mm-yp000130.000mm-zm000071.100mm-shot0000.npy,75.0,-71.1,186,500000.0,0.0004,0.729,0,False
101.0,auto_scan-2026-08-06_09-50-11,y0101.00cm,aug6_axicon3_007-tableyp001010.000mm-gantryxp000070.000mm-yp000020.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,255,6498.4,0.0392,1.0,4580,False
