run,slice,exposure_us,n_dark_total,n_dark_used,dark_mean,dark_median,dark_std,dark_max
auto_scan-2026-07-29_16-25-57,y0184.00cm,500.0,12,2,3.7034351407783106e-05,0.0,0.01077902689576149,13.0
auto_scan-2026-07-29_16-25-57,y0184.50cm,500.0,12,2,3.592173379729502e-05,0.0,0.010961804538965225,13.0
auto_scan-2026-07-29_16-25-57,y0185.00cm,500.0,12,2,3.687540811370127e-05,0.0,0.01081582810729742,13.0
auto_scan-2026-07-29_16-25-57,y0185.50cm,500.0,12,2,3.814697265625e-05,0.0,0.011034060269594193,14.0
auto_scan-2026-07-29_16-25-57,y0186.00cm,500.0,13,2,0.00014734268188476562,0.0,0.015101741999387741,13.0
auto_scan-2026-07-29_16-25-57,y0186.50cm,500.0,10,2,0.03465604782104492,0.0,0.2592650353908539,13.0
auto_scan-2026-07-29_16-25-57,y0187.00cm,500.0,10,2,0.02087688446044922,0.0,0.1662110686302185,13.0
auto_scan-2026-07-29_16-25-57,y0187.50cm,500.0,10,2,0.013631979934871197,0.0,0.12130610644817352,13.0
auto_scan-2026-07-29_16-25-57,y0188.00cm,500.0,10,2,0.0117556257173419,0.0,0.10813194513320923,13.0
auto_scan-2026-07-29_16-25-57,y0188.50cm,500.0,10,2,0.014028549194335938,0.0,0.11947327852249146,13.0
auto_scan-2026-07-29_16-25-57,y0189.00cm,500.0,10,2,0.019670644775032997,0.0,0.15313076972961426,13.0
auto_scan-2026-07-29_16-25-57,y0189.50cm,500.0,10,2,0.031496841460466385,0.0,0.2181837111711502,13.0
auto_scan-2026-07-29_16-25-57,y0190.00cm,500.0,13,2,8.217493450501934e-05,0.0,0.01260080561041832,13.0
auto_scan-2026-07-29_16-25-57,y0190.50cm,429.8295454545454,12,2,3.910064697265625e-05,0.0,0.01039620116353035,12.0
auto_scan-2026-07-29_16-25-57,y0191.00cm,429.8295454545454,13,2,3.846486288239248e-05,0.0,0.010350238531827927,12.0
auto_scan-2026-07-29_16-25-57,y0191.50cm,429.8295454545454,13,2,3.7034351407783106e-05,0.0,0.010419118218123913,13.0
auto_scan-2026-07-29_16-25-57,y0192.00cm,353.44135993082995,10,2,3.7670135498046875e-05,0.0,0.010077917948365211,12.0
auto_scan-2026-07-29_17-14-37,y0189.00cm,8000.0,12,2,0.11773490905761719,0.0,0.3992452025413513,11.0
auto_scan-2026-07-29_17-14-37,y0189.50cm,500.0,10,2,3.4173328458564356e-05,0.0,0.009757398627698421,12.0
auto_scan-2026-07-29_17-14-37,y0190.00cm,500.0,10,2,4.0531158447265625e-05,0.0,0.009854627773165703,11.0
