beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
74.5,auto_scan-2026-07-30_10-57-31,y0074.50cm,jul30_axicon3_001_070-tableyp000745.000mm-gantryxp000080.000mm-yp000085.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,167,3555.7,0.047,0.994,0,False
74.5,auto_scan-2026-07-30_10-57-31,y0074.50cm,jul30_axicon3_001_070-tableyp000745.000mm-gantryxp000080.000mm-yp000085.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,168,3555.7,0.0472,1.0,0,False
75.0,auto_scan-2026-07-30_10-57-31,y0075.00cm,jul30_axicon3_001_070-tableyp000750.000mm-gantryxp000080.000mm-yp000080.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,151,3056.7,0.0494,1.0,0,False
75.0,auto_scan-2026-07-30_10-57-31,y0075.00cm,jul30_axicon3_001_070-tableyp000750.000mm-gantryxp000080.000mm-yp000080.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,149,3056.7,0.0487,0.987,0,False
75.5,auto_scan-2026-07-30_10-57-31,y0075.50cm,jul30_axicon3_001_070-tableyp000755.000mm-gantryxp000080.000mm-yp000075.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,172,3056.7,0.0563,1.0,0,False
75.5,auto_scan-2026-07-30_10-57-31,y0075.50cm,jul30_axicon3_001_070-tableyp000755.000mm-gantryxp000080.000mm-yp000075.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,163,3056.7,0.0533,0.948,0,False
76.0,auto_scan-2026-07-30_10-57-31,y0076.00cm,jul30_axicon3_001_070-tableyp000760.000mm-gantryxp000080.000mm-yp000070.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,152,3056.7,0.0497,0.968,0,False
76.0,auto_scan-2026-07-30_10-57-31,y0076.00cm,jul30_axicon3_001_070-tableyp000760.000mm-gantryxp000080.000mm-yp000070.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,157,3056.7,0.0514,1.0,0,False
76.5,auto_scan-2026-07-30_10-57-31,y0076.50cm,jul30_axicon3_001_070-tableyp000765.000mm-gantryxp000080.000mm-yp000065.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,164,3056.7,0.0537,1.0,0,False
76.5,auto_scan-2026-07-30_10-57-31,y0076.50cm,jul30_axicon3_001_070-tableyp000765.000mm-gantryxp000080.000mm-yp000065.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,154,3056.7,0.0504,0.939,0,False
