beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
28.0,auto_scan-2026-08-06_20-57-25,y0028.00cm,aug6_telescope_003-tableyp000280.000mm-gantryxp000055.000mm-yp000100.000mm-zm000102.100mm-shot0000.npy,55.0,-102.1,110,804.8,0.1367,1.0,0,False
29.0,auto_scan-2026-08-06_20-57-25,y0029.00cm,aug6_telescope_003-tableyp000290.000mm-gantryxp000055.000mm-yp000090.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,103,804.8,0.128,0.954,0,False
29.0,auto_scan-2026-08-06_20-57-25,y0029.00cm,aug6_telescope_003-tableyp000290.000mm-gantryxp000055.000mm-yp000090.000mm-zm000102.100mm-shot0000.npy,55.0,-102.1,108,804.8,0.1342,1.0,0,False
30.0,auto_scan-2026-08-06_20-57-25,y0030.00cm,aug6_telescope_003-tableyp000300.000mm-gantryxp000055.000mm-yp000080.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,158,1323.5,0.1194,1.0,0,False
30.0,auto_scan-2026-08-06_20-57-25,y0030.00cm,aug6_telescope_003-tableyp000300.000mm-gantryxp000055.000mm-yp000080.000mm-zm000102.100mm-shot0000.npy,55.0,-102.1,157,1323.5,0.1186,0.994,0,False
31.0,auto_scan-2026-08-06_20-57-25,y0031.00cm,aug6_telescope_003-tableyp000310.000mm-gantryxp000055.000mm-yp000070.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,155,1323.5,0.1171,1.0,0,False
32.0,auto_scan-2026-08-06_20-57-25,y0032.00cm,aug6_telescope_003-tableyp000320.000mm-gantryxp000055.000mm-yp000060.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,143,1323.5,0.108,1.0,0,False
33.0,auto_scan-2026-08-06_20-57-25,y0033.00cm,aug6_telescope_003-tableyp000330.000mm-gantryxp000055.000mm-yp000050.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,145,1323.5,0.1096,1.0,0,False
34.0,auto_scan-2026-08-06_20-57-25,y0034.00cm,aug6_telescope_003-tableyp000340.000mm-gantryxp000055.000mm-yp000040.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,148,1323.5,0.1118,1.0,0,False
35.0,auto_scan-2026-08-06_20-57-25,y0035.00cm,aug6_telescope_003-tableyp000350.000mm-gantryxp000055.000mm-yp000030.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,145,1323.5,0.1096,1.0,0,False
36.0,auto_scan-2026-08-06_20-57-25,y0036.00cm,aug6_telescope_003-tableyp000360.000mm-gantryxp000055.000mm-yp000020.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,145,1323.5,0.1096,1.0,0,False
37.0,auto_scan-2026-08-06_20-57-25,y0037.00cm,aug6_telescope_003-tableyp000370.000mm-gantryxp000055.000mm-yp000010.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,148,1323.5,0.1118,1.0,0,False
45.0,auto_scan-2026-08-06_21-06-22,y0045.00cm,aug6_telescope_005-tableyp000450.000mm-gantryxp000050.000mm-yp000130.000mm-zm000097.100mm-shot0000.npy,50.0,-97.1,173,43228.6,0.004,0.678,0,False
45.0,auto_scan-2026-08-06_21-06-22,y0045.00cm,aug6_telescope_005-tableyp000450.000mm-gantryxp000050.000mm-yp000130.000mm-zm000101.100mm-shot0000.npy,50.0,-101.1,162,43228.6,0.0037,0.635,0,False
45.0,auto_scan-2026-08-06_21-06-22,y0045.00cm,aug6_telescope_005-tableyp000450.000mm-gantryxp000055.000mm-yp000130.000mm-zm000093.100mm-shot0000.npy,55.0,-93.1,141,43228.6,0.0033,0.553,0,False
45.0,auto_scan-2026-08-06_21-06-22,y0045.00cm,aug6_telescope_005-tableyp000450.000mm-gantryxp000055.000mm-yp000130.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,255,43228.6,0.0059,1.0,76788,False
45.0,auto_scan-2026-08-06_21-06-22,y0045.00cm,aug6_telescope_005-tableyp000450.000mm-gantryxp000055.000mm-yp000130.000mm-zm000101.100mm-shot0000.npy,55.0,-101.1,164,43228.6,0.0038,0.643,0,False
45.0,auto_scan-2026-08-06_21-06-22,y0045.00cm,aug6_telescope_005-tableyp000450.000mm-gantryxp000060.000mm-yp000130.000mm-zm000097.100mm-shot0000.npy,60.0,-97.1,153,43228.6,0.0035,0.6,0,False
45.0,auto_scan-2026-08-06_21-06-22,y0045.00cm,aug6_telescope_005-tableyp000450.000mm-gantryxp000060.000mm-yp000130.000mm-zm000101.100mm-shot0000.npy,60.0,-101.1,129,43228.6,0.003,0.506,0,False
